year,estimate,drug,grade,time
1991-01-01T05:00Z,54,Alcohol,8th Grade,12 Month
1992-01-01T05:00Z,53.7,Alcohol,8th Grade,12 Month
1993-01-01T05:00Z,45.4,Alcohol,8th Grade,12 Month
1994-01-01T05:00Z,46.8,Alcohol,8th Grade,12 Month
1995-01-01T05:00Z,45.3,Alcohol,8th Grade,12 Month
1996-01-01T05:00Z,46.5,Alcohol,8th Grade,12 Month
1997-01-01T05:00Z,45.5,Alcohol,8th Grade,12 Month
1998-01-01T05:00Z,43.7,Alcohol,8th Grade,12 Month
1999-01-01T05:00Z,43.5,Alcohol,8th Grade,12 Month
2000-01-01T05:00Z,43.1,Alcohol,8th Grade,12 Month
2001-01-01T05:00Z,41.9,Alcohol,8th Grade,12 Month
2002-01-01T05:00Z,38.7,Alcohol,8th Grade,12 Month
2003-01-01T05:00Z,37.2,Alcohol,8th Grade,12 Month
2004-01-01T05:00Z,36.7,Alcohol,8th Grade,12 Month
2005-01-01T05:00Z,33.9,Alcohol,8th Grade,12 Month
2006-01-01T05:00Z,33.6,Alcohol,8th Grade,12 Month
2007-01-01T05:00Z,31.8,Alcohol,8th Grade,12 Month
2008-01-01T05:00Z,32.1,Alcohol,8th Grade,12 Month
2009-01-01T05:00Z,30.3,Alcohol,8th Grade,12 Month
2010-01-01T05:00Z,29.3,Alcohol,8th Grade,12 Month
2011-01-01T05:00Z,26.9,Alcohol,8th Grade,12 Month
2012-01-01T05:00Z,23.6,Alcohol,8th Grade,12 Month
2013-01-01T05:00Z,22.1,Alcohol,8th Grade,12 Month
2014-01-01T05:00Z,20.8,Alcohol,8th Grade,12 Month
2015-01-01T05:00Z,21,Alcohol,8th Grade,12 Month
2016-01-01T05:00Z,17.6,Alcohol,8th Grade,12 Month
2017-01-01T05:00Z,18.2,Alcohol,8th Grade,12 Month
2018-01-01T05:00Z,18.7,Alcohol,8th Grade,12 Month
2019-01-01T05:00Z,19.3,Alcohol,8th Grade,12 Month
2020-01-01T05:00Z,20.5,Alcohol,8th Grade,12 Month
2021-01-01T05:00Z,17.2,Alcohol,8th Grade,12 Month
2022-01-01T05:00Z,15.2,Alcohol,8th Grade,12 Month
2023-01-01T05:00Z,15.1,Alcohol,8th Grade,12 Month
2024-01-01T05:00Z,12.9,Alcohol,8th Grade,12 Month
1991-01-01T05:00Z,72.3,Alcohol,10th Grade,12 Month
1992-01-01T05:00Z,70.2,Alcohol,10th Grade,12 Month
1993-01-01T05:00Z,63.4,Alcohol,10th Grade,12 Month
1994-01-01T05:00Z,63.9,Alcohol,10th Grade,12 Month
1995-01-01T05:00Z,63.5,Alcohol,10th Grade,12 Month
1996-01-01T05:00Z,65,Alcohol,10th Grade,12 Month
1997-01-01T05:00Z,65.2,Alcohol,10th Grade,12 Month
1998-01-01T05:00Z,62.7,Alcohol,10th Grade,12 Month
1999-01-01T05:00Z,63.7,Alcohol,10th Grade,12 Month
2000-01-01T05:00Z,65.3,Alcohol,10th Grade,12 Month
2001-01-01T05:00Z,63.5,Alcohol,10th Grade,12 Month
2002-01-01T05:00Z,60,Alcohol,10th Grade,12 Month
2003-01-01T05:00Z,59.3,Alcohol,10th Grade,12 Month
2004-01-01T05:00Z,58.2,Alcohol,10th Grade,12 Month
2005-01-01T05:00Z,56.7,Alcohol,10th Grade,12 Month
2006-01-01T05:00Z,55.8,Alcohol,10th Grade,12 Month
2007-01-01T05:00Z,56.3,Alcohol,10th Grade,12 Month
2008-01-01T05:00Z,52.5,Alcohol,10th Grade,12 Month
2009-01-01T05:00Z,52.8,Alcohol,10th Grade,12 Month
2010-01-01T05:00Z,52.1,Alcohol,10th Grade,12 Month
2011-01-01T05:00Z,49.8,Alcohol,10th Grade,12 Month
2012-01-01T05:00Z,48.5,Alcohol,10th Grade,12 Month
2013-01-01T05:00Z,47.1,Alcohol,10th Grade,12 Month
2014-01-01T05:00Z,44,Alcohol,10th Grade,12 Month
2015-01-01T05:00Z,41.9,Alcohol,10th Grade,12 Month
2016-01-01T05:00Z,38.3,Alcohol,10th Grade,12 Month
2017-01-01T05:00Z,37.7,Alcohol,10th Grade,12 Month
2018-01-01T05:00Z,37.8,Alcohol,10th Grade,12 Month
2019-01-01T05:00Z,37.7,Alcohol,10th Grade,12 Month
2020-01-01T05:00Z,40.7,Alcohol,10th Grade,12 Month
2021-01-01T05:00Z,28.5,Alcohol,10th Grade,12 Month
2022-01-01T05:00Z,31.3,Alcohol,10th Grade,12 Month
2023-01-01T05:00Z,30.6,Alcohol,10th Grade,12 Month
2024-01-01T05:00Z,26.1,Alcohol,10th Grade,12 Month
1975-01-01T05:00Z,84.8,Alcohol,12th Grade,12 Month
1976-01-01T05:00Z,85.7,Alcohol,12th Grade,12 Month
1977-01-01T05:00Z,87,Alcohol,12th Grade,12 Month
1978-01-01T05:00Z,87.7,Alcohol,12th Grade,12 Month
1979-01-01T05:00Z,88.1,Alcohol,12th Grade,12 Month
1980-01-01T05:00Z,87.9,Alcohol,12th Grade,12 Month
1981-01-01T05:00Z,87,Alcohol,12th Grade,12 Month
1982-01-01T05:00Z,86.8,Alcohol,12th Grade,12 Month
1983-01-01T05:00Z,87.3,Alcohol,12th Grade,12 Month
1984-01-01T05:00Z,86,Alcohol,12th Grade,12 Month
1985-01-01T05:00Z,85.6,Alcohol,12th Grade,12 Month
1986-01-01T05:00Z,84.5,Alcohol,12th Grade,12 Month
1987-01-01T05:00Z,85.7,Alcohol,12th Grade,12 Month
1988-01-01T05:00Z,85.3,Alcohol,12th Grade,12 Month
1989-01-01T05:00Z,82.7,Alcohol,12th Grade,12 Month
1990-01-01T05:00Z,80.6,Alcohol,12th Grade,12 Month
1991-01-01T05:00Z,77.7,Alcohol,12th Grade,12 Month
1992-01-01T05:00Z,76.8,Alcohol,12th Grade,12 Month
1993-01-01T05:00Z,72.7,Alcohol,12th Grade,12 Month
1994-01-01T05:00Z,73,Alcohol,12th Grade,12 Month
1995-01-01T05:00Z,73.7,Alcohol,12th Grade,12 Month
1996-01-01T05:00Z,72.5,Alcohol,12th Grade,12 Month
1997-01-01T05:00Z,74.8,Alcohol,12th Grade,12 Month
1998-01-01T05:00Z,74.3,Alcohol,12th Grade,12 Month
1999-01-01T05:00Z,73.8,Alcohol,12th Grade,12 Month
2000-01-01T05:00Z,73.2,Alcohol,12th Grade,12 Month
2001-01-01T05:00Z,73.3,Alcohol,12th Grade,12 Month
2002-01-01T05:00Z,71.5,Alcohol,12th Grade,12 Month
2003-01-01T05:00Z,70.1,Alcohol,12th Grade,12 Month
2004-01-01T05:00Z,70.6,Alcohol,12th Grade,12 Month
2005-01-01T05:00Z,68.6,Alcohol,12th Grade,12 Month
2006-01-01T05:00Z,66.5,Alcohol,12th Grade,12 Month
2007-01-01T05:00Z,66.4,Alcohol,12th Grade,12 Month
2008-01-01T05:00Z,65.5,Alcohol,12th Grade,12 Month
2009-01-01T05:00Z,66.2,Alcohol,12th Grade,12 Month
2010-01-01T05:00Z,65.2,Alcohol,12th Grade,12 Month
2011-01-01T05:00Z,63.5,Alcohol,12th Grade,12 Month
2012-01-01T05:00Z,63.5,Alcohol,12th Grade,12 Month
2013-01-01T05:00Z,62,Alcohol,12th Grade,12 Month
2014-01-01T05:00Z,60.2,Alcohol,12th Grade,12 Month
2015-01-01T05:00Z,58.2,Alcohol,12th Grade,12 Month
2016-01-01T05:00Z,55.6,Alcohol,12th Grade,12 Month
2017-01-01T05:00Z,55.7,Alcohol,12th Grade,12 Month
2018-01-01T05:00Z,53.3,Alcohol,12th Grade,12 Month
2019-01-01T05:00Z,52.1,Alcohol,12th Grade,12 Month
2020-01-01T05:00Z,55.3,Alcohol,12th Grade,12 Month
2021-01-01T05:00Z,46.5,Alcohol,12th Grade,12 Month
2022-01-01T05:00Z,51.9,Alcohol,12th Grade,12 Month
2023-01-01T05:00Z,45.7,Alcohol,12th Grade,12 Month
2024-01-01T05:00Z,41.7,Alcohol,12th Grade,12 Month